dataset_id,event_id,as_of_date,event_status,event_type,event_date_start,event_date_end,affected_scope,affected_companies,earnings_channel,leading_indicator,risk_if_wrong,source_quality,source_url,source_note,retrieved_at
airline_sector_event_calendar,20260329_summer_schedule,2026-08-07,active,seasonal capacity schedule,2026-03-29,2026-10-24,China civil aviation sector,All mainland carriers,capacity and yield,weekly planned flights | new routes | international frequencies,capacity growth can absorb demand and pressure yield even when traffic grows,CAAC primary,https://www.caac.gov.cn/English/News/202603/t20260331_230393.html,CAAC summer schedule has 121000 weekly passenger and cargo flights roughly flat YoY | 434 new domestic routes | planned international passenger flights +1.2% YoY | planned capacity is not realized traffic,2026-08-07
airline_sector_event_calendar,20260807_july_bulletin_watch,2026-08-07,watch,monthly operating release,2026-08-07,2026-08-14,Mainland listed airlines,Air China | China Southern | China Eastern | Spring | Juneyao | Hainan,traffic and capacity,July ASK | RPK | passengers | load factor | cargo release date,missing July data delays read-through on summer peak and creates announcement timing risk,CNINFO query,https://www.cninfo.com.cn/new/hisAnnouncement/query,At the cutoff no July 2026 issuer operating bulletin was found in the scoped CNINFO query window for any of the six mainland names | query-scoped absence is not permanent non-disclosure,2026-08-07
airline_sector_event_calendar,20260825_600221_h1_results,2026-08-07,scheduled,earnings report,2026-08-25,2026-08-25,Company,Hainan Airlines Holdings,earnings and guidance,reported revenue | profit | fuel cost | cash flow | management outlook,formal result can change FY2026 estimates and invalidate pre-result warning interpretation,issuer filing watch,https://www.cninfo.com.cn/new/hisAnnouncement/query,Scheduled date from local filing-watch layer | not yet an actual disclosure at the snapshot,2026-08-07
airline_sector_event_calendar,20260829_601021_600029_h1_results,2026-08-07,scheduled,earnings report,2026-08-29,2026-08-29,Company pair candidates,Spring Airlines | China Southern Airlines,earnings and guidance,profit bridge | fuel | ASK and RPK | yield | H2 capacity and cost outlook,results may reprice the pair through earnings revisions and factor rotation,issuer filing watch,https://www.cninfo.com.cn/new/hisAnnouncement/query,Scheduled dates from local filing-watch layer | not yet actual disclosures at the snapshot,2026-08-07
airline_sector_event_calendar,20260831_big_three_and_juneyao_h1_results,2026-08-07,scheduled,earnings report,2026-08-31,2026-08-31,Company pair candidates,Air China | China Eastern Airlines | Juneyao Airlines,earnings and guidance,profit bridge | fuel sensitivity | capacity | international mix | guidance,formal results are the next major company-specific expectation reset after current warning and consensus snapshot,issuer filing watch,https://www.cninfo.com.cn/new/hisAnnouncement/query,Scheduled dates from local filing-watch layer | not yet actual disclosures at the snapshot,2026-08-07
airline_sector_event_calendar,20260925_mid_autumn_holiday,2026-08-07,scheduled,holiday demand,2026-09-25,2026-09-27,China domestic and regional travel,All mainland carriers,passenger demand and fares,booking pace | flight volume | load factor | ticket discount | airport throughput,holiday demand can support load factor but extra capacity or discounting can prevent revenue and margin upside,government primary,https://big5.www.gov.cn/gate/big5/www.gov.cn/zhengce/zhengceku/202511/content_7047091.htm,State Council 2026 holiday schedule sets Mid-Autumn Festival at 25 to 27 September | actual traffic and fare outcome remains unknown,2026-08-07
airline_sector_event_calendar,20261001_national_day_holiday,2026-08-07,scheduled,holiday demand,2026-10-01,2026-10-07,China domestic and regional travel,All mainland carriers,passenger demand and fares,booking pace | capacity | load factor | fares | airport and rail passenger volumes,peak demand can be offset by aggressive capacity deployment and HSR substitution on short routes,government primary,https://big5.www.gov.cn/gate/big5/www.gov.cn/zhengce/zhengceku/202511/content_7047091.htm,State Council 2026 holiday schedule sets National Day holiday at 1 to 7 October | actual travel-rush statistics should be added after release,2026-08-07
airline_sector_event_calendar,2026_h1_rail_substitute_watch,2026-08-07,active,substitute demand,2026-01-01,2026-06-30,China railway and HSR network,Spring | Juneyao | Eastern | Southern | Air China | Hainan,route-level demand and fares,city-pair rail time | new HSR capacity | rail passengers | overlapping airport pairs,rail growth is not automatically sector negative but can cap short-haul airline fares and steal share on overlapping city pairs,government primary,https://english.www.gov.cn/archive/statistics/202607/13/content_WS6a548ddac6d00ca5f9a0c276.html,China Railway reported more than 2.3bn rail passenger trips in H1 2026 +5% YoY and 11468 daily passenger trains +5.8% | use route-level overlap rather than a blanket sector assumption,2026-08-07
airline_sector_event_calendar,20260331_aviation_rail_demand_context,2026-08-07,active,sector demand context,2026-03-31,2026-08-07,China travel demand,All mainland carriers,traffic and load factor,CAAC passenger traffic | Spring Festival and summer travel-rush volume | rail and air together,air and rail can both grow with total mobility while mix and fare outcomes diverge,CAAC primary,https://www.caac.gov.cn/English/News/202603/t20260317_230280.html,CAAC reported 94.39m civil aviation passengers during the 2026 Spring Festival travel rush +4.6% YoY with average load factor 87.8% | separate sector demand from company margin,2026-08-07
airline_sector_event_calendar,continuous_fuel_fx_watch,2026-08-07,active,energy and FX macro,2026-08-07,2026-10-31,Global energy and China FX,All carriers,operating cost and translation,Brent | jet fuel | USD/CNY | USD/HKD | surcharge schedules,jet fuel and FX can dominate near-term earnings revisions even when traffic KPIs are healthy,sector benchmark,https://www.eia.gov/dnav/pet/pet_pri_spt_s1_d.htm,EIA and ECB layers already exist locally | this row is a monitoring rule rather than a dated forecast event,2026-08-07
