registry_version,registry_id,source_dataset,entity_scope,sector_id,target_id,target_period_type,track_id,model_id,default_model_id,default_baseline_id,default_model_selection_basis,default_model_selection_confidence,default_model_entity_vote_count,default_model_entity_total_count,default_model_id_by_entity,default_model_id_entity_disagreements,default_model_pooled_skill_vs_baseline,default_model_pooled_skill_n,default_model_pooled_metric_status,default_model_selection_evidence_fingerprint,pit_grade,evaluation_status,candidate_headline_eligible,headline_eligibility_scope,n_total_rows,n_primary_source_rows,n_duplicate_rows,n_valid_eval_rows,n_primary_valid_eval_rows,n_primary_headline_valid_rows,n_primary_forecast_only,n_primary_no_source_coverage,n_headline_valid_rows,n_actual_available,n_forecast_only,n_no_source_coverage,n_insufficient_rows,n_imputed_rows,source_run_ids,input_run_set_status,predictor_binding_status,forecast_origin_policy,information_cutoff_policy,model_use,research_only,primary_metric,legacy_primary_metric,secondary_metrics,scaler_id,baseline_status,directional_hit_rate_min_rows,canonical_spec_doc,notes
asia_backtest_registry_v2,airline_cost_engine_v2:FY:operating_cost:company_shrink_cask_v2,airline_cost_engine_v2,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,operating_cost,FY,fiscal_year,company_shrink_cask_v2,company_shrink_cask_v2,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,47,47,0,0,0,0,0,0,0,47,0,0,0,0,,not_applicable,not_shared_or_not_captured,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,WAPE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-cost-engine-v2.md,Financial actual availability is retained only where the source row provides it.
asia_backtest_registry_v2,airline_cost_engine_v2:FY:operating_cost:flat_ask_cost_v1,airline_cost_engine_v2,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,operating_cost,FY,fiscal_year,flat_ask_cost_v1,company_shrink_cask_v2,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,47,47,0,0,0,0,0,0,0,47,0,0,0,0,,not_applicable,not_shared_or_not_captured,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,WAPE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-cost-engine-v2.md,Financial actual availability is retained only where the source row provides it.
asia_backtest_registry_v2,airline_cost_engine_v2:FY:operating_cost:fuel_mechanical_cost_v1,airline_cost_engine_v2,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,operating_cost,FY,fiscal_year,fuel_mechanical_cost_v1,company_shrink_cask_v2,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,47,47,0,0,0,0,0,0,0,47,0,0,0,0,,not_applicable,not_shared_or_not_captured,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,WAPE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-cost-engine-v2.md,Financial actual availability is retained only where the source row provides it.
asia_backtest_registry_v2,airline_cost_engine_v2:FY:operating_cost:full_cask_v2,airline_cost_engine_v2,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,operating_cost,FY,fiscal_year,full_cask_v2,company_shrink_cask_v2,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,47,47,0,0,0,0,0,0,0,47,0,0,0,0,,not_applicable,not_shared_or_not_captured,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,WAPE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-cost-engine-v2.md,Financial actual availability is retained only where the source row provides it.
asia_backtest_registry_v2,airline_cost_engine_v2:FY:operating_cost:nonfuel_driver_cost_v1,airline_cost_engine_v2,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,operating_cost,FY,fiscal_year,nonfuel_driver_cost_v1,company_shrink_cask_v2,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,47,47,0,0,0,0,0,0,0,47,0,0,0,0,,not_applicable,not_shared_or_not_captured,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,WAPE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-cost-engine-v2.md,Financial actual availability is retained only where the source row provides it.
asia_backtest_registry_v2,airline_earnings_model_v4:FY:revenue:v4_base_decomposition_v1,airline_earnings_model_v4,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,revenue,FY,fiscal_year,v4_base_decomposition_v1,v4_base_decomposition_v1,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,36,36,0,0,0,0,0,0,0,36,0,0,0,0,,not_applicable,historical_live_split,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,MAE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-earnings-model-v4.md,Historical and live predictor implementations are separate code paths.
asia_backtest_registry_v2,airline_earnings_model_v4:FY:revenue:v4_dynamic_shrinkage_v1,airline_earnings_model_v4,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,revenue,FY,fiscal_year,v4_dynamic_shrinkage_v1,v4_dynamic_shrinkage_v1,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,36,36,0,0,0,0,0,0,0,36,0,0,0,0,,not_applicable,historical_live_split,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,MAE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-earnings-model-v4.md,Historical and live predictor implementations are separate code paths.
asia_backtest_registry_v2,airline_earnings_model_v4:FY:revenue:v4_recovery_overlay_v1,airline_earnings_model_v4,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,revenue,FY,fiscal_year,v4_recovery_overlay_v1,v4_recovery_overlay_v1,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,36,36,0,0,0,0,0,0,0,36,0,0,0,0,,not_applicable,historical_live_split,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,MAE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-earnings-model-v4.md,Historical and live predictor implementations are separate code paths.
asia_backtest_registry_v2,airline_earnings_model_v4:FY:revenue:v4_residual_yield_v1,airline_earnings_model_v4,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,revenue,FY,fiscal_year,v4_residual_yield_v1,v4_residual_yield_v1,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,36,36,0,0,0,0,0,0,0,36,0,0,0,0,,not_applicable,historical_live_split,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,MAE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-earnings-model-v4.md,Historical and live predictor implementations are separate code paths.
asia_backtest_registry_v2,airline_earnings_model_v4:H1:revenue:v4_base_decomposition_v1,airline_earnings_model_v4,Air China;China Eastern Airlines;China Southern Airlines;Hainan Airlines Holdings;Juneyao Airlines;Spring Airlines,hk-transport,revenue,H1,half_year_non_overlapping,v4_base_decomposition_v1,v4_base_decomposition_v1,same_period_last_year,assumed_heuristic_fallback,not_measured,0.0,0.0,Air China=not_measured|China Eastern Airlines=not_measured|China Southern Airlines=not_measured|Hainan Airlines Holdings=not_measured|Juneyao Airlines=not_measured|Spring Airlines=not_measured,not_applicable,,,not_available,selection_evidence-484711b93fb9451e,C_structural_replay,insufficient_sample,False,candidate_pre_metric_policy,36,36,0,0,0,0,0,0,0,36,0,0,0,0,,not_applicable,historical_live_split,not_captured,not_captured,not_captured,not_captured,scaled_RMSE,MAE,RMSE|directional_hit_rate,same_period_last_year_rmse,materialized_in_additive_long_form,12.0,docs/asia-markets/airline-earnings-model-v4.md,Historical and live predictor implementations are separate code paths.
