dataset_id,event_id,event_category,event_name,event_window_start,event_window_end,affected_companies,kpi_link,earnings_link,direction_hypothesis,source,source_quality,source_note,retrieved_at
airline_catalyst_calendar,cat_006,route_launch,"Air China: 4 new domestic routes, ~56 weekly initial frequency",2026-03-29,2026-03-29,Air China,new route frequency,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high_licence_issued,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_010,route_launch,"China Eastern Airlines: 1 new domestic routes, ~14 weekly initial frequency",2026-03-29,2026-03-29,China Eastern Airlines,new route frequency,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high_licence_issued,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_014,route_launch,"China Southern Airlines: 2 new domestic routes, ~28 weekly initial frequency",2026-03-29,2026-03-29,China Southern Airlines,new route frequency,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high_licence_issued,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_018,route_launch,"Juneyao Airlines: 2 new domestic routes, ~28 weekly initial frequency",2026-03-29,2026-03-29,Juneyao Airlines,new route frequency,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high_licence_issued,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_022,route_launch,"Spring Airlines: 4 new domestic routes, ~56 weekly initial frequency",2026-03-29,2026-03-29,Spring Airlines,new route frequency,capacity -> revenue (ASK x RASK),adds capacity,capacity_pipeline,high_licence_issued,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_030,monthly_kpi,Issuer monthly operating releases (each month),2026-08-15,2027-08-10,all six mainland carriers,monthly ASK/RPK/LF,revenue bridge (RPK-ASK gap -> yield pressure),track Spring-Juneyao RPK-ASK gap divergence,cninfo_monthly,issuer_primary,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_005,earnings_report,Hainan Airlines Holdings 1H2026 report,2026-08-25,2026-08-25,Hainan Airlines Holdings,reported ASK/RPK/LF/yield/cargo,actual revenue/op profit/net income vs pre-event forecast and consensus,validation catalyst: tests the pre-event forecast; revision trigger for FY26 consensus,filing_calendar,public_discovery,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_001,earnings_report,China Southern Airlines 1H2026 report,2026-08-29,2026-08-29,China Southern Airlines,reported ASK/RPK/LF/yield/cargo,actual revenue/op profit/net income vs pre-event forecast and consensus,validation catalyst: tests the pre-event forecast; revision trigger for FY26 consensus,filing_calendar,public_discovery,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_003,earnings_report,Spring Airlines 1H2026 report,2026-08-29,2026-08-29,Spring Airlines,reported ASK/RPK/LF/yield/cargo,actual revenue/op profit/net income vs pre-event forecast and consensus,validation catalyst: tests the pre-event forecast; revision trigger for FY26 consensus,filing_calendar,public_discovery,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
airline_catalyst_calendar,cat_000,earnings_report,Air China 1H2026 report,2026-08-31,2026-08-31,Air China,reported ASK/RPK/LF/yield/cargo,actual revenue/op profit/net income vs pre-event forecast and consensus,validation catalyst: tests the pre-event forecast; revision trigger for FY26 consensus,filing_calendar,public_discovery,"Catalyst & risk calendar: event -> KPI -> earnings -> company chain.  Windows are scheduled/projected; the earnings link is a direction hypothesis, not a forecast.",2026-08-10T15:50:55.837278+00:00
