event_id,event_key,observation_version,scope,event_type,title,description,status,certainty_class,confidence,date_precision,starts_at,ends_at,source_timezone,source_id,source_url,source_published_at,first_observed_at,last_verified_at,review_by,supersedes_event_id,evidence_class,evidence_ref,reference_period,previous_value,previous_vintage,market_consensus,consensus_source,own_nowcast,actual_value,actual_unit,revised_value,surprise_value,surprise_unit,scenario_notes,expected_metrics,thesis_implications,registry_version
MTR_H1_2025_INTERIM_RESULTS,MTR_H1_INTERIM_RESULTS,1,company,earnings,MTR H1 2025 interim results,Official H1 2025 MTR transport-operations result is retained as a historical source-backed company observation.,observed,hard,1,day,2025-08-14T00:00:00+08:00,2025-08-14T00:00:00+08:00,Asia/Hong_Kong,mtr_h1_transport_operations_actuals,https://www.mtr.com.hk/archive/corporate/en/investor/interim2025/2025IR_Eng.pdf,2025-08-14T00:00:00+08:00,2025-08-14T00:00:00+08:00,,2025-08-14,,official_external,https://www.mtr.com.hk/archive/corporate/en/investor/interim2025/2025IR_Eng.pdf,H1 2025,,,,,,11509,HKD million,,,,transport operations revenue; interim results,,Historical company anchor for the Hong Kong research timeline.,v1
TSMC_JUNE_2026_REVENUE_OBSERVATION,TSMC_MONTHLY_REVENUE_OBSERVATION,1,company,monthly_revenue,TSMC June 2026 monthly revenue observation,Taiwan MOPS monthly-revenue frame contains the June 2026 TSMC observation and its retrieval provenance; this is not an earnings event and no filing date is inferred.,observed,observed,1,month,2026-06-01T00:00:00+08:00,2026-06-30T23:59:59+08:00,Asia/Taipei,tw_monthly_revenue,https://mops.twse.com.tw/mops/api/t05st10_ifrs,,2026-08-07T14:23:57.112843+00:00,,2026-09-30,,source_observation,data/normalized/taiwan_semiconductor_revenue/tw_monthly_revenue.parquet,2026-06,,,,,,442679969,NTD,,,,monthly revenue; yoy growth,,Read-through for foundry and AI infrastructure demand.,v1
TAIWAN_COMPANY_EARNINGS_COVERAGE_GAP,TAIWAN_COMPANY_EARNINGS_COVERAGE,1,company,coverage_gap,Taiwan company earnings coverage unavailable,No exact official earnings result or release date with a Task 1-resolved company link was found in the bounded local artifact audit; this row is source-health coverage and is not a catalyst.,unavailable,observed,1,day,2026-08-13T00:00:00+08:00,2026-08-13T00:00:00+08:00,Asia/Taipei,research_control_tower_local_artifact_audit,,,2026-08-13T00:00:00+00:00,,2026-09-30,,internal_research,docs/superpowers/specs/2026-08-13-research-control-tower-design.md#15-v1-acceptance-criteria,,,,,,,,,,,,Local artifact audit found monthly revenue but no exact official earnings date for the represented Taiwan company; monthly revenue is not substituted for earnings.,,Exclude from next-catalyst selection until official issuer timing is captured.,v1
AI_HBM4_QUALIFICATION_WINDOW,AI_HBM4_QUALIFICATION,1,basket,thesis_checkpoint,HBM4 customer qualification window,Approved research window for SK Hynix HBM4 customer qualification; the design spec establishes this as a thesis-checkpoint class and does not prove exact industry timing.,active,thesis_checkpoint,0.55,half,2026-07-01T00:00:00+09:00,2026-12-31T23:59:59+09:00,Asia/Seoul,research_control_tower_v1_thesis,,,2026-08-12T00:00:00+00:00,,2026-09-30,,internal_research,docs/superpowers/specs/2026-08-13-research-control-tower-design.md#5.2-event-classes,,,,,,,,,,,,No verified issuer schedule is asserted.,customer qualification; sampling to production approval; yield; capacity; ASP,Memory bottleneck validation for the global AI basket.,v1
AI_HBM4_QUALIFICATION_WINDOW_V2,AI_HBM4_QUALIFICATION,2,basket,thesis_checkpoint,HBM4 customer qualification window revised observation,Append-only revision of the approved HBM4 research window; the design spec defines the thesis class but does not prove exact industry timing.,active,thesis_checkpoint,0.65,half,2026-08-01T00:00:00+09:00,2027-03-31T23:59:59+09:00,Asia/Seoul,research_control_tower_v1_thesis,,,2026-08-13T00:00:00+00:00,,2026-10-31,AI_HBM4_QUALIFICATION_WINDOW,internal_research,docs/superpowers/specs/2026-08-13-research-control-tower-design.md#5.2-event-classes,,,,,,,,,,,,No verified issuer schedule is asserted.,customer qualification; capacity sold-through; yield; HBM mix,Memory bottleneck validation for the global AI basket.,v1
AI_ADVANCED_PACKAGING_WINDOW,AI_ADVANCED_PACKAGING,1,basket,thesis_checkpoint,Advanced packaging adoption window,Approved research window for advanced packaging capacity and qualification evidence; the design spec defines the research layer and does not prove exact production dates.,active,thesis_checkpoint,0.6,year,2026-07-01T00:00:00+08:00,2027-06-30T23:59:59+08:00,Asia/Taipei,research_control_tower_v1_thesis,,,2026-08-13T00:00:00+00:00,,2026-10-31,,internal_research,docs/superpowers/specs/2026-08-13-research-control-tower-design.md#5.2-event-classes,,,,,,,,,,,,No exact production date is asserted.,CoWoS or equivalent capacity; customer qualification; packaging lead times,Packaging remains a potential constraint between compute demand and shipment growth.,v1
AI_CPO_RAMP_WINDOW,AI_CPO_RAMP,1,basket,thesis_checkpoint,Co-packaged optics production ramp window,Approved research window for evidence that CPO moves from qualification into repeat production; the design spec defines the checkpoint class and not exact vendor timing.,active,thesis_checkpoint,0.45,year,2026-10-01T00:00:00+00:00,2027-09-30T23:59:59+00:00,UTC,research_control_tower_v1_thesis,,,2026-08-13T00:00:00+00:00,,2026-12-31,,internal_research,docs/superpowers/specs/2026-08-13-research-control-tower-design.md#5.2-event-classes,,,,,,,,,,,,No exact vendor ramp date is asserted.,design wins; production volume; optical attach rate; network capex,CPO is a possible networking bottleneck and should remain evidence-gated.,v1
AI_POWER_GRID_WINDOW,AI_POWER_GRID,1,basket,thesis_checkpoint,AI data-center power and grid bottleneck window,Approved research window for power and grid evidence associated with AI data-center buildout; the design spec establishes the thesis class and not exact project timing.,active,thesis_checkpoint,0.7,year,2026-08-01T00:00:00+00:00,2027-12-31T23:59:59+00:00,UTC,research_control_tower_v1_thesis,,,2026-08-13T00:00:00+00:00,,2027-01-31,,internal_research,docs/superpowers/specs/2026-08-13-research-control-tower-design.md#5.2-event-classes,,,,,,,,,,,,No exact project or interconnection date is asserted.,load growth; grid connection queues; transformer lead times; capex,Power and grid availability can constrain AI demand conversion even when compute demand is strong.,v1
US_NFCI_20260731_OBSERVATION,US_NFCI_OBSERVATION,1,macro,financial_conditions,US National Financial Conditions Index observation — 31 July 2026,Observed date from the locally captured FRED normalized series; this is an observation date rather than a future release promise.,observed,observed,1,week,2026-07-31T00:00:00+00:00,2026-07-31T00:00:00+00:00,UTC,fred_NFCI,https://fred.stlouisfed.org/series/NFCI,,2026-08-08T04:34:37.926211+00:00,,2026-08-31,,source_observation,data/normalized/fred_macro/fred_observations.parquet,2026-W31,,,,,,-0.529,index,,,,Chicago Fed financial-conditions observation.,,,v1
HK_CPI_202606_OBSERVATION,HK_CPI_OBSERVATION,1,macro,consumer_prices,Hong Kong Composite CPI observation — June 2026,The local CENSTATD raw snapshot contains the June 2026 index observation and its official source URL in the sidecar metadata.,observed,observed,1,month,2026-06-01T00:00:00+08:00,2026-06-30T23:59:59+08:00,Asia/Hong_Kong,censtatd_cpi_headline,https://www.censtatd.gov.hk/data/MDT_54_510-60001_CC_CM_1920_Raw_1dp_idx_n.csv,,2026-08-07T20:58:16.462798+00:00,,2026-08-31,,source_observation,data/raw/hk_local_consumer/censtatd_cpi_headline/2026-08-07/20260807T205816_462798Z_93bba4de1619_706d25b2.meta.json,2026-06,,,,,,110.4,index,,,,Hong Kong inflation observation for macro read-through.,,,v1
