entity_id,basket_id,membership_tier,primary_layer,secondary_layers,active_from,active_to,membership_reason,source_or_research_note,registry_version
JPMORGAN_CHASE,US_VALUE,core,financials,,2026-01-01,,US bank and value anchor,Approved V1 primary basket,v1
BERKSHIRE_HATHAWAY,US_VALUE,core,financials,insurance,2026-01-01,,Diversified financial and defensive value anchor,Approved V1 primary basket,v1
EXXON_MOBIL,US_VALUE,core,energy,,2026-01-01,,US energy value anchor,Approved V1 primary basket,v1
PROCTER_GAMBLE,US_VALUE,core,defensive_value,consumer_staples,2026-01-01,,US defensive value anchor,Approved V1 primary basket,v1
EATON,US_VALUE,read_through,industrials,power_grid,2026-01-01,,US industrial and power-management read-through,Approved V1 primary basket,v1
GE_VERNOVA,US_VALUE,read_through,industrials,power_grid,2026-01-01,,US grid and power-generation read-through,Approved V1 primary basket,v1
CONSTELLATION_ENERGY,US_VALUE,read_through,utilities,power_grid,2026-01-01,,US electricity-demand and generation read-through,Approved V1 primary basket,v1
VISTRA,US_VALUE,read_through,utilities,power_grid,2026-01-01,,US electricity-demand and generation read-through,Approved V1 primary basket,v1
MICROSOFT,US_GROWTH,core,hyperscaler_demand,software,2026-01-01,,Hyperscaler and AI-demand anchor,Approved V1 primary basket,v1
AMAZON,US_GROWTH,core,hyperscaler_demand,cloud,2026-01-01,,Hyperscaler and cloud-demand anchor,Approved V1 primary basket,v1
ALPHABET,US_GROWTH,core,hyperscaler_demand,cloud,2026-01-01,,Hyperscaler and AI-demand anchor,Approved V1 primary basket,v1
META,US_GROWTH,core,hyperscaler_demand,cloud,2026-01-01,,Hyperscaler and AI-demand anchor,Approved V1 primary basket,v1
ORACLE,US_GROWTH,core,hyperscaler_demand,software,2026-01-01,,Cloud and enterprise software demand anchor,Approved V1 primary basket,v1
NVIDIA,US_GROWTH,core,accelerators_custom_silicon,hyperscaler_demand,2026-01-01,,Direct AI accelerator and demand-chain anchor,Approved V1 primary basket,v1
AMD,US_GROWTH,core,accelerators_custom_silicon,server_systems,2026-01-01,,AI accelerator and CPU/GPU anchor,Approved V1 primary basket,v1
BROADCOM,US_GROWTH,core,accelerators_custom_silicon,optical_networking,2026-01-01,,Custom silicon and networking anchor,Approved V1 primary basket,v1
MARVELL,US_GROWTH,read_through,accelerators_custom_silicon,optical_networking,2026-01-01,,Custom silicon and data-infrastructure read-through,Approved V1 primary basket,v1
