index_id,region,display_name,official_code,official_code_namespace,official_code_provider,provider_symbol,provider_symbol_namespace,provider_symbol_provider,provider,currency,active_from,active_to,registry_version,source_url,source_or_research_note
SP500,US,S&P 500,SPX,SPDJI,S&P Dow Jones Indices,^GSPC,SPDJI,S&P Dow Jones Indices,S&P Dow Jones Indices,USD,2026-01-01,,v1,https://www.spglobal.com/spdji/en/indices/equity/sp-500/,Primary US large-cap benchmark.
NASDAQ100,US,Nasdaq 100,NDX,NASDAQ,Nasdaq,^NDX,NASDAQ,Nasdaq,Nasdaq,USD,2026-01-01,,v1,https://indexes.nasdaqomx.com/Index/Overview/NDX,Primary US growth benchmark.
RUSSELL2000,US,Russell 2000,RUT,FTSE_RUSSELL,FTSE Russell,^RUT,FTSE_RUSSELL,FTSE Russell,FTSE Russell,USD,2026-01-01,,v1,https://www.lseg.com/en/ftse-russell/indices/russell-us,US small-cap benchmark.
HANG_SENG_INDEX,HK,Hang Seng Index,HSI,HSI,HANG SENG INDEXES,^HSI,YAHOO_FINANCE,Yahoo Finance,HANG SENG INDEXES,HKD,2026-01-01,,v1,https://www.hsi.com.hk/eng/indexes/all-indexes,Hong Kong broad equity benchmark.
HANG_SENG_TECH,HK,Hang Seng TECH Index,HSTECH,HSI,HANG SENG INDEXES,^HSTECH,YAHOO_FINANCE,Yahoo Finance,HANG SENG INDEXES,HKD,2026-01-01,,v1,https://www.hsi.com.hk/eng/indexes/all-indexes,Hong Kong technology benchmark.
CSI300,MAINLAND_CHINA,CSI 300,000300,CSI,China Securities Index,000300,CSI,China Securities Index,China Securities Index,CNY,2026-01-01,,v1,https://www.csindex.com.cn/zh-CN/indices/index-detail/000300,Mainland China large-cap benchmark; official code retained as text.
CSI500,MAINLAND_CHINA,CSI 500,000905,CSI,China Securities Index,000905,CSI,China Securities Index,China Securities Index,CNY,2026-01-01,,v1,https://www.csindex.com.cn/zh-CN/indices/index-detail/000905,Required V1 index; official code 000905.
TAIEX,TAIWAN,TAIEX,TAIEX,TWSE,Taiwan Stock Exchange,^TWII,YAHOO_FINANCE,Yahoo Finance,Taiwan Stock Exchange,TWD,2026-01-01,,v1,https://www.twse.com.tw/en/indices/major/taiex,Taiwan broad equity benchmark.
KOSPI,KOREA,KOSPI,KOSPI,KRX,Korea Exchange,^KS11,YAHOO_FINANCE,Yahoo Finance,Korea Exchange,KRW,2026-01-01,,v1,https://global.krx.co.kr/contents/GLB/02/0201/020101/JHPGLB020101.jsp,Korea broad equity benchmark.
NIKKEI225,JAPAN,Nikkei 225,NIKKEI225,NIKKEI,Nikkei Inc.,^N225,YAHOO_FINANCE,Yahoo Finance,Nikkei Inc.,JPY,2026-01-01,,v1,https://indexes.nikkei.co.jp/en/nkave/index/profile?idx=nk225,Japan large-cap benchmark.
TOPIX,JAPAN,TOPIX,TOPIX,JPX,Japan Exchange Group,^TOPX,YAHOO_FINANCE,Yahoo Finance,Japan Exchange Group,JPY,2026-01-01,,v1,https://www.jpx.co.jp/english/markets/indices/topix/index.html,Japan broad equity benchmark.
STOXX_EUROPE_600,EUROPE,STOXX Europe 600,SXXP,STOXX,STOXX,SXXP,STOXX,STOXX,STOXX,EUR,2026-01-01,,v1,https://www.stoxx.com/index-details?symbol=SXXP,Required V1 European benchmark; STOXX official symbol SXXP.
