dataset_id,company,parent_group,ticker,risk_category,risk,leading_indicator,current_evidence,invalidation_trigger,earnings_impact_channel,current_status,is_modelled_analysis,hsr_coverage_status,formal_report_scheduled_date,source_as_of_date,source_quality,source_paths,retrieved_at
airline_forward_invalidation_rules,Air China,Air China,601111.SH,demand_capacity,Demand fails capacity,H1 RPK versus ASK growth and passenger load factor,H1 RPK growth=6.82% vs ASK growth=1.75%; gap=5.07pp,RPK−ASK gap turns <= 0 or passenger load factor declines in the next validation window,traffic volume and load-factor operating leverage,monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Air China,Air China,601111.SH,pricing,Pricing/mix fails the bridge,Reported passenger yield/RASK versus the base assumption,FY2025 yield=0.5144; base RASK growth=0.00%,Realized yield/RASK is below the base case by more than 2 percentage points,revenue per ASK and operating margin,monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Air China,Air China,601111.SH,fuel_cost,Fuel/cost shock is not absorbed,"Fuel cost share, +5% fuel sensitivity and surcharge policy",FY2025 fuel share=30.76684959010689; +5% pre-tax sensitivity=-370.71662943849645 USD mn,"Fuel +5% overlay is not offset by realized yield, surcharge recovery or non-fuel CASK control","fuel expense, CASK and earnings sensitivity",monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,Air China,Air China,601111.SH,profit_scope,Profit bridge or scope breaks,"FY2025 profit-base method, 9 Air scope and current consensus",profit method=consensus_margin_fallback_negative_FY2025_profit; consensus net margin=0.13880691007759807,"Formal interim result invalidates the profit proxy, or disclosed scope/mix cannot support the bridge","net-profit conversion, consolidated margin and expectations gap",monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,China Southern Airlines,China Southern Airlines,600029.SH,demand_capacity,Demand fails capacity,H1 RPK versus ASK growth and passenger load factor,H1 RPK growth=3.38% vs ASK growth=4.15%; gap=-0.76pp,RPK−ASK gap turns <= 0 or passenger load factor declines in the next validation window,traffic volume and load-factor operating leverage,monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-29,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,China Southern Airlines,China Southern Airlines,600029.SH,pricing,Pricing/mix fails the bridge,Reported passenger yield/RASK versus the base assumption,FY2025 yield=0.46; base RASK growth=0.00%,Realized yield/RASK is below the base case by more than 2 percentage points,revenue per ASK and operating margin,monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-29,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,China Southern Airlines,China Southern Airlines,600029.SH,fuel_cost,Fuel/cost shock is not absorbed,"Fuel cost share, +5% fuel sensitivity and surcharge policy",FY2025 fuel share=32.0710709488338; +5% pre-tax sensitivity=-389.13392641659607 USD mn,"Fuel +5% overlay is not offset by realized yield, surcharge recovery or non-fuel CASK control","fuel expense, CASK and earnings sensitivity",monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-29,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,China Southern Airlines,China Southern Airlines,600029.SH,profit_scope,Profit bridge or scope breaks,"FY2025 profit-base method, 9 Air scope and current consensus",profit method=positive_FY2025_net_margin_carry; consensus net margin=0.3561284060032158,"Formal interim result invalidates the profit proxy, or disclosed scope/mix cannot support the bridge","net-profit conversion, consolidated margin and expectations gap",monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-29,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,China Eastern Airlines,China Eastern Airlines,600115.SH,demand_capacity,Demand fails capacity,H1 RPK versus ASK growth and passenger load factor,H1 RPK growth=4.29% vs ASK growth=1.74%; gap=2.55pp,RPK−ASK gap turns <= 0 or passenger load factor declines in the next validation window,traffic volume and load-factor operating leverage,monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
airline_forward_invalidation_rules,China Eastern Airlines,China Eastern Airlines,600115.SH,pricing,Pricing/mix fails the bridge,Reported passenger yield/RASK versus the base assumption,FY2025 yield=0.493; base RASK growth=0.00%,Realized yield/RASK is below the base case by more than 2 percentage points,revenue per ASK and operating margin,monitor_before_formal_1H2026,True,partial_route_panel_missing_rail_or_ask_weight,2026-08-31,2026-08-06,derived_multi_source_invalidation_contract,/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_forward_earnings_bridge.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_sector_expectation_snapshot.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_operating_diagnostics.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_fuel_pass_through_hedge_matrix.csv;/Users/henrywzh/Quant/alternative-data/data/normalized/hk_transport/airline_hsr_research_coverage.csv,2026-08-17T02:54:35.910158+00:00
