event_id,question_id,question,question_type,priority,registry_version
TENCENT_3Q_2026_RESULTS_RESEARCH_WINDOW,TENCENT_EVQ_3Q_1,Does Tencent report 3Q 2026 revenue and Non-IFRS operating profit in line with or above market consensus?,support,1,v1
TENCENT_3Q_2026_RESULTS_RESEARCH_WINDOW,TENCENT_EVQ_3Q_2,Does 3Q 2026 Free Cash Flow demonstrate recovery from negative 2Q26 levels?,falsification,1,v1
TENCENT_AI_CAPEX_FCF_INFLECTION_CHECKPOINT,TENCENT_EVQ_FCF_1,Does quarterly Free Cash Flow inflect back to positive in 2H2026 as compute infrastructure prepayments are absorbed?,support,1,v1
TENCENT_AI_CAPEX_FCF_INFLECTION_CHECKPOINT,TENCENT_EVQ_FCF_2,Does quarterly CapEx remain below the RMB65.0B ceiling without eroding Core Non-IFRS operating margin?,falsification,1,v1
TENCENT_AIM_AD_TECH_EXPANSION_CHECKPOINT,TENCENT_EVQ_AIM_1,Does Marketing Services / Online Advertising revenue maintain >=15% YoY growth driven by AIM+ ad tech and Video Accounts ad inventory?,support,1,v1
TENCENT_AIM_AD_TECH_EXPANSION_CHECKPOINT,TENCENT_EVQ_AIM_2,Does advertising gross margin compress under higher GPU inference serving costs?,falsification,2,v1
TENCENT_NPPA_GAME_APPROVAL_CADENCE_CHECKPOINT,TENCENT_EVQ_NPPA_1,Does the NPPA maintain a steady monthly cadence of 100+ domestic and 15+ imported game licenses?,support,1,v1
TENCENT_NPPA_GAME_APPROVAL_CADENCE_CHECKPOINT,TENCENT_EVQ_NPPA_2,"Are key Tencent pipeline titles (e.g. Delta Force updates and Roco Kingdom World) receiving required approvals on schedule?",support,2,v1
TENCENT_BUYBACK_CADENCE_CHECKPOINT,TENCENT_EVQ_BUYBACK_1,Do daily statutory Next-Day Disclosure filings show steady repurchase volume without extended blackout pauses?,support,1,v1
TENCENT_BUYBACK_CADENCE_CHECKPOINT,TENCENT_EVQ_BUYBACK_2,Does average daily repurchase consideration remain within the HKD1.0B-1.5B corridor?,support,2,v1
