dataset_id,kpi,kpi_category,coverage_status,current_source_or_method,research_caveat,is_safe_as_final_thesis_input,retrieved_at
airline_earnings_model_v3_kpi_coverage,ASK,operating_capacity,modelled,issuer monthly operating releases; FY/H1 bridge,Forecast ASK is directly carried from company traffic assumptions; route-level future capacity remains incomplete.,True,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,RPK,passenger_demand,modelled,issuer monthly operating releases; FY/H1 bridge,Forecast RPK is modelled from issuer anchor/scenario assumptions.,True,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Passenger load factor,passenger_demand,modelled,RPK / ASK,Derived weighted load factor; route/cabin mix is not separately modelled.,True,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Passenger revenue,revenue,modelled,passenger RASK proxy x ASK,Issuer passenger revenue anchors are available for covered FY/H1 periods; forward passenger revenue remains a RASK proxy.,True,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Passenger yield / RASK,pricing,partial,issuer disclosed yield where available; otherwise total revenue / ASK proxy,Not a clean route/cabin realized yield series across all names.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Operating profit,earnings,modelled,forecast revenue less aggregate operating-cost bridge,Where FY2025 reported operating profit is available it is used as the historical residual anchor; forward cost mix is still aggregated.,True,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Cargo demand,revenue_driver,proxy,MOFCOM monthly exports/imports; issuer cargo tonnes where available,External trade proxy is broad and not airline-specific.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Postal / express demand,revenue_driver,proxy,State Post Bureau cumulative revenue/parcel volume and segment split,Broad e-commerce/logistics context only; it is not airline cargo demand and does not directly change the revenue forecast.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Holiday travel demand,sector_demand,proxy,MOT Spring Festival transport and MCT holiday tourism/spend events,Low-frequency event control; duration-normalized but not converted into monthly company RPK.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Airport hub traffic,sector_demand,proxy,"issuer monthly airport production bulletins (Shanghai, Shenzhen, Guangzhou)",Airport throughput includes many carriers and is hub context only; it is not company RPK or revenue.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Cargo revenue,revenue,partial,Reported FY2025 cargo revenue grown by external trade proxy where anchors reconcile,Cargo demand is not airline-specific and cargo yield remains incomplete; fallback residual is retained where the annual split is unavailable.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Cargo tonnage / cargo yield,revenue_driver,partial,issuer cargo/RTK/yield disclosures where available,No uniform airline-by-airline forward tonnage and yield model.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Airport-cargo bridge calibration,revenue_driver,proxy,airport cargo throughput versus company cargo tonnage/revenue,Hub mapping is directional; airport throughput includes many carriers and is calibration context only.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Cargo-yield forward revenue bridge,revenue,partial,reported cargo revenue per tonne applied to H1-2026 issuer tonnage,Yield is not uniform by route/commodity; tonnage is preliminary monthly data and the Spring/Juneyao anchor is FY-annualized.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Ancillary / other revenue,revenue,partial,FY2025 total/passenger/cargo residual grown with forecast passenger-revenue growth,No separate ancillary attach-rate/ARPU model; this is a transparent residual proxy rather than a disclosed forward segment forecast.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Jet fuel price,cost_driver,modelled,EIA daily/weekly benchmark,Benchmark is not company realized purchase price.,True,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Fuel volume,cost_driver,partial,fuel cost per ASK / aggregate CASK,Volume is not independently forecast from block hours and aircraft type.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Fuel hedge,cost_driver,partial,issuer hedging disclosure coverage,"Disclosure/status exists, but hedge book cash-flow accounting is not fully integrated.",False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Fuel pass-through,cost_driver,partial,official surcharge schedules plus dated surcharge-to-fuel recovery proxy,Regulated per-passenger surcharges are not realized fuel-cost recovery; the recovery ratio is context only.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Non-fuel CASK,cost_driver,modelled,aggregate operating-cost / ASK bridge,"Maintenance, labor, airport and distribution costs are not fully decomposed.",True,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Fleet count,supply_driver,partial,issuer/Cathay fleet disclosures plus Wikipedia fleet-composition snapshot (in-service/on-order by type),Composition and order book are dated secondary-aggregator context; a forward delivery/retirement schedule is still incomplete for every name and the snapshot never overrides an official fleet total.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Aircraft utilization,supply_driver,partial,issuer disclosed daily utilization where available plus CAAC sector utilization,Not independently forecast by fleet type/route.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,HSR substitution,demand_risk,proxy_monitor,12306/Ctrip route observations,Route-specific demand elasticity and revenue impact are not integrated.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Net income,earnings,proxy,forecast operating contribution + FY2025 reported below-operating residual,"Residual combines finance cost, FX, tax, associates and NCI; it is more transparent than a net-to-operating ratio but is not a granular forecast.",False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,EPS,earnings,proxy,residual net-income proxy / FY2025 official basic-EPS implied share count,This is not diluted EPS and does not model future issuance/buybacks; the below-operating residual is carried forward.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Finance cost / FX / tax / associates,earnings,partial,reported FY2025 waterfall anchors plus residual forward bridge,"The historical waterfall is now carried into v3; forward finance cost, FX, tax and associate income are still not separately forecast.",False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Forward waterfall proxy,earnings,partial,reconciled FY2025 waterfall; finance cost scaled with forecast revenue; other rows carried,"Currently available only where the historical formal waterfall reconciles; it is a scenario diagnostic, not the primary EPS forecast.",False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Forward tax and FX assumptions,earnings,partial,FY2025 effective tax rate (curated anchors where needed) and latest ECB USD/CNY carry,"Tax rate is historical and FX is a carry assumption, not a forward regime view; loss/reversal cases keep absolute tax.",False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Forward diluted share count / dilution,earnings,not_modelled,FY2025 basic-EPS implied share count only,"No forward issuance, buyback, option or minority-ownership forecast.",False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Consensus revenue/profit,expectations,snapshot,free public consensus discovery layers,Useful comparator but not complete broker-vintage consensus for every issuer.,False,2026-08-10T11:59:58.022323+00:00
airline_earnings_model_v3_kpi_coverage,Valuation P/S/P/E/P/B,valuation,modelled,free market/financial history and valuation bands,Historical multiples still inherit denominator and point-in-time coverage caveats.,True,2026-08-10T11:59:58.022323+00:00
